2024-05-03 14:53:06.438532,hyperdbg-cli.e,18f4,26d0,7,1ec,0,0,0
2024-05-03 14:53:06.469907,soffice.bin,9d4,1254,3f,6c8,1ade340,18ddae0,48
2024-05-03 14:53:06.501110,soffice.bin,9d4,1254,3f,6c8,1ac8ac8,18dda6c,48
2024-05-03 14:53:06.532266,soffice.bin,9d4,1254,3f,6c8,1acf658,18dda6c,48
2024-05-03 14:53:06.563535,soffice.bin,9d4,1254,3f,6c8,1ace4d8,18ddae0,48
2024-05-03 14:53:06.594891,soffice.bin,9d4,1254,3f,6c8,1acfbd8,18ddae0,48
2024-05-03 14:53:06.626154,soffice.bin,9d4,1254,3f,6c8,1ad3518,18dda58,48
2024-05-03 14:53:06.657393,soffice.bin,9d4,1254,3f,6c8,1ad2498,18dda6c,48
2024-05-03 14:53:06.688625,soffice.bin,9d4,1254,3f,6c8,1ae4938,18dda6c,48
2024-05-03 14:53:06.720022,soffice.bin,9d4,1254,3f,6c8,1acea90,18ddae0,48
2024-05-03 14:53:06.751302,soffice.bin,9d4,1254,3f,6c8,1acf868,18ddae0,48
2024-05-03 14:53:06.782416,soffice.bin,9d4,1254,10,110,1,f4dd30,210
2024-05-03 14:53:06.813578,soffice.bin,9d4,1254,11ba,f4dfd0,f4e8e0,18dd220,6
2024-05-03 14:53:06.844921,soffice.bin,9d4,1254,1201,f4dfc0,3,1,6
