2024-05-26 19:26:17.514966,MsMpEng.exe,e58,16c4,17,74c,46597fdbe8,2,46597fdc00
2024-05-26 19:26:17.546220,powershell.exe,123c,1ec4,7,60,0,0,0
2024-05-26 19:26:17.577474,MsMpEng.exe,e58,16c4,147,46597fcf10,46597fcf40,6,0
2024-05-26 19:26:17.608654,MsMpEng.exe,e58,16c4,121,46597fd438,20019,46597fd458,0
2024-05-26 19:26:17.639939,MsMpEng.exe,e58,16c4,f,74c,ffffffffffffffff,0,0
2024-05-26 19:26:17.671206,MsMpEng.exe,e58,16c4,8c,1e4,20000,1aaa21b5480,1aaa21819c8
2024-05-26 19:26:17.702414,MsMpEng.exe,e58,16c4,49,74c,46597fce78,46597fcf00,18
2024-05-26 19:26:17.733662,MsMpEng.exe,e58,16c4,f,74c,ffffffffffffffff,0,0
2024-05-26 19:26:17.764944,MsMpEng.exe,e58,16c4,17,74c,46597fd788,2,46597fd7a0
2024-05-26 19:26:17.796166,MsMpEng.exe,e58,16c4,20,6fc,0,100,60
2024-05-26 19:26:17.827396,services.exe,300,23f4,d,fffffffffffffffe,5,90b02fedf8,8
2024-05-26 19:26:17.858654,MsMpEng.exe,e58,16c4,147,46597fcdd0,46597fce00,1,0
2024-05-26 19:26:17.889902,MsMpEng.exe,e58,16c4,55,46597fcdb0,100080,46597fce10,46597fcdb8
2024-05-26 19:26:17.921129,MsMpEng.exe,e58,16c4,5b,1,46597fc150,1,0
2024-05-26 19:26:17.952371,MsMpEng.exe,e58,16c4,147,46597fcd70,46597fcda0,4,0
2024-05-26 19:26:17.983586,MsMpEng.exe,e58,16c4,5b,3,46597fd6b0,1,0
2024-05-26 19:26:18.014831,MsMpEng.exe,e58,16c4,16,898,7,46597fd128,4
2024-05-26 19:26:18.046206,MsMpEng.exe,e58,16c4,121,46597fd158,20019,46597fd178,0
2024-05-26 19:26:18.077353,MsMpEng.exe,e58,16c4,16,d8,7,46597fd128,4
2024-05-26 19:26:18.108583,MsMpEng.exe,e58,16c4,121,46597fd158,20019,46597fd178,0
2024-05-26 19:26:18.139826,MsMpEng.exe,e58,16c4,17,73c,46597fd560,2,0
2024-05-26 19:26:18.171207,MsMpEng.exe,e58,16c4,17,73c,46597fd560,2,1aaa77f19b0
2024-05-26 19:26:18.202370,MsMpEng.exe,e58,16c4,20,6fc,0,100,c0
2024-05-26 19:26:18.233564,MsMpEng.exe,e58,16c4,5b,3,46597fb880,1,0
2024-05-26 19:26:18.264920,MsMpEng.exe,e58,16c4,11,980,46597fbe60,46597fbe78,3e
2024-05-26 19:26:18.296084,MsMpEng.exe,e58,16c4,146,980,46597fbc60,46597fbea0,9
2024-05-26 19:26:18.327307,MsMpEng.exe,e58,16c4,5b,1,46597fcc00,1,0
2024-05-26 19:26:18.358509,MsMpEng.exe,e58,16c4,20,6fc,0,100,c0
2024-05-26 19:26:18.389791,powershell.exe,123c,1ec4,7,60,0,0,0
2024-05-26 19:26:18.421111,MsMpEng.exe,e58,16c4,35,74c,0,0,0
2024-05-26 19:26:18.452363,MsMpEng.exe,e58,16c4,147,46597fcdf0,46597fce20,8,0
2024-05-26 19:26:18.483556,MsMpEng.exe,e58,16c4,147,46597fce80,46597fceb0,8,0
2024-05-26 19:26:18.514776,MsMpEng.exe,e58,16c4,50,ffffffffffffffff,46597f8768,46597f8760,4
2024-05-26 19:26:18.546066,MsMpEng.exe,e58,16c4,50,ffffffffffffffff,46597f8768,46597f8760,20
2024-05-26 19:26:18.577281,MsMpEng.exe,e58,16c4,49,77c,46597fc090,46597fc0c0,8
2024-05-26 19:26:18.608526,powershell.exe,123c,1ec4,7,60,0,0,0
2024-05-26 19:26:18.639776,MsMpEng.exe,e58,16c4,11,88c,46597fce98,46597fceb0,68
2024-05-26 19:26:18.671046,MsMpEng.exe,e58,16c4,11,88c,46597fce88,46597fcea0,68
2024-05-26 19:26:18.702217,MsMpEng.exe,e58,16c4,20,6fc,0,100,40
2024-05-26 19:26:18.733400,MsMpEng.exe,e58,16c4,5b,3,46597fcc20,1,0
2024-05-26 19:26:18.764743,MsMpEng.exe,e58,16c4,35,74c,0,0,0
2024-05-26 19:26:18.796060,conhost.exe,1c24,b64,7,4,0,0,0
2024-05-26 19:26:18.827244,MsMpEng.exe,e58,16c4,35,74c,0,0,0
2024-05-26 19:26:18.858468,MsMpEng.exe,e58,16c4,39,77c,0,0,0
2024-05-26 19:26:18.889659,MsMpEng.exe,e58,16c4,5b,1,46597fcd20,1,0
2024-05-26 19:26:18.920953,MsMpEng.exe,e58,16c4,11,77c,46597fce98,46597fceb0,68
2024-05-26 19:26:18.952156,MsMpEng.exe,e58,16c4,35,74c,0,0,0
2024-05-26 19:26:18.983404,MsMpEng.exe,e58,16c4,147,46597fcdf0,46597fce20,4,0
2024-05-26 19:26:19.014652,MsMpEng.exe,e58,16c4,11,780,46597fce88,46597fcea0,68
2024-05-26 19:26:19.045886,MsMpEng.exe,e58,16c4,49,780,46597fce98,46597fcf20,18
2024-05-26 19:26:19.077154,MsMpEng.exe,e58,16c4,55,46597fcdd0,100080,46597fce30,46597fcdd8
2024-05-26 19:26:19.108402,MsMpEng.exe,e58,16c4,11,780,46597fcda0,46597fcdf0,18
